,id,text,query
93,1389483524445687809,RT @discord: pog,playstation 
94,1389483524357431297,"RT @M0RIQN: #PlayStation #PS5 #プレゼント企画

PlayStation 5 結局買って1日もやってないからプレゼント企画します🎁

条件はリツイート　いいね　のみ
フォローいりません！ https://t.co/0GUkBBbhgf",playstation 
95,1389483521429827587,"神エイム

https://t.co/iCbT52LSZD https://t.co/Y5a9A0D2CQ",playstation 
96,1389483518292492289,"RT @YahooNewsTopics: 【ソニー PSNにDiscordを統合へ】
https://t.co/Mv2fMI6N34

ソニー・インタラクティブエンタテインメントは5月3日（米国時間）、チャットルームサービスを運営する米Discordとの提携により、「PlayS…",playstation 
97,1389483517034123266,"RT @last_hoper_u: キミは見捨てられたんだ・・・
#apex

https://t.co/wtwbCCYn6Q https://t.co/RrJdWeGGUK",playstation 
98,1389483515150966791,"ランクからの解放！無事ダイヤさん！一緒にしてくれた方々に感謝感激。 #PS4share

https://t.co/qSI0KsyEgJ https://t.co/qNjlFWcM6V",playstation 
99,1389483515117404162,"@shana3385 ソニーと提携することが決まった
PlayStationともなんとかって言ってるから多分使える！",playstation 
100,1389483512336683011,"#androidcentral: ""PlayStation's Discord partnership says a lot about Sony's potential plans moving forward, including a possible new dedication to cross-play https://t.co/N7QZIhRE9C"" #android #tech $tech #technology #technews #news $news #technologynews",playstation 
101,1389483511636131840,"RT @M0RIQN: #PlayStation #PS5 #プレゼント企画

PlayStation 5 結局買って1日もやってないからプレゼント企画します🎁

条件はリツイート　いいね　のみ
フォローいりません！ https://t.co/0GUkBBbhgf",playstation 
102,1389483511254380545,Just waiting on you now @Xbox ...? #Quarell ain't cutting it https://t.co/zkumWwgPkj,playstation 
103,1389483510663163904,RT @PlayStationFR: Nous annonçons un nouveau partenariat avec Discord. Le service s’intégrera à votre expérience sociale sur PlayStation en…,playstation 
104,1389483510218514434,"RT @JVCom: PlayStation et Discord s'associent !

Le service de communication sera disponible sur le PlayStation Network dès le début de l'a…",playstation 
105,1389483509366984706,PlayStation 4からブロードキャストを始めました！ #PS4live (Apex Legends)  live at https://t.co/QdBlpiaYgN,playstation 
106,1389483506166898688,RT @Theorus_: Bravo à eux ils viennent de vaincre Xbox,playstation 
107,1389483503428022273,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
108,1389483501347491841,"RT @M0RIQN: #PlayStation #PS5 #プレゼント企画

PlayStation 5 結局買って1日もやってないからプレゼント企画します🎁

条件はリツイート　いいね　のみ
フォローいりません！ https://t.co/0GUkBBbhgf",playstation 
109,1389483498445021185,PlayStation 4からブロードキャストを始めました！ #PS4live (レインボーシックス　シージ)  live at https://t.co/MyjIlnwxsy,playstation 
110,1389483497052688384,"#PS4share

https://t.co/ha02nj3o6t https://t.co/lTkooID0Iy",playstation 
111,1389483493428711424,"#androidcentral: ""Sony announces PlayStation partnership with Discord, will bring the chat platform to PSN early next year. https://t.co/lHZAMGgNWq"" #android #tech $tech #technology #technews #news $news #technologynews",playstation 
112,1389483493349076992,"RT @TheSiteSupply: PS5 Giveaway 🥳

Prizes: 🎁
- 1x PlayStation 5

Rules:  📃
• Follow @TheSiteSupply, @MekRobotics, @Maze_IO, @torpedoAIO, @t…",playstation 
113,1389483492376027140,RT @discord: pog,playstation 
114,1389483488554885121,PlayStation 4からブロードキャストを始めました！ #PS4live (Apex Legends)  live at https://t.co/ehIYghAetC,playstation 
115,1389483486973726720,SIE、PlayStation NetworkにDiscordを“統合”へ - ITmedia NEWS https://t.co/TDyxJCRlni,playstation 
116,1389483485937741824,"RT @last_hoper_u: キミは見捨てられたんだ・・・
#apex

https://t.co/wtwbCCYn6Q https://t.co/RrJdWeGGUK",playstation 
117,1389483483509100544,"BFVがPSplusのフリープレイになりましたね
ここで最強の過疎モード、BFVのバトロワモードことファイアストームのチュートリアルをご覧頂きましょう

https://t.co/OM6WWkUT7k https://t.co/r8KwQt48sj",playstation 
118,1389483479876866051,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
119,1389483478048075778,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
120,1389483475414265857,"RT @YahooNewsTopics: 【ソニー PSNにDiscordを統合へ】
https://t.co/Mv2fMI6N34

ソニー・インタラクティブエンタテインメントは5月3日（米国時間）、チャットルームサービスを運営する米Discordとの提携により、「PlayS…",playstation 
121,1389483472176271360,RT @PlayStation: Announcing PlayStation’s new partnership with Discord: https://t.co/W9C8SR7OXx https://t.co/LV4AhwbuBv,playstation 
122,1389483470628573184,RT @discord: pog https://t.co/8dLFVWuZe2,playstation 
123,1389483469886038016,"ドラゴンかわいそうに #PS4share

https://t.co/IexEjmXjJP https://t.co/5vxzKMkg8j",playstation 
124,1389483467780628482,RT @discord: pog,playstation 
125,1389483467663056898,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
126,1389483464861360128,"RT @Gaxchq: 毎度ラスト汚い3

https://t.co/EzHPSeTD1N https://t.co/aOv36qrdm6",playstation 
127,1389483455130574848,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
128,1389483454388113410,"@AskPS_UK Phone number to Playstation UK please, someone hacked my account.",playstation 
129,1389483451150061571,"これが鋼の意思の強さ #PS4share

https://t.co/JUa6AQriOp https://t.co/SMDUV2b9nM",playstation 
130,1389483449644322817,"#PS4share

https://t.co/08t3whBNZ8 https://t.co/OOS6KWkCCC",playstation 
131,1389483448943927296,RT @Linknight1: https://t.co/PYjREPpwJb https://t.co/fo4fG2PpB7,playstation 
132,1389483445534044160,RT @PlayStationFR: Nous annonçons un nouveau partenariat avec Discord. Le service s’intégrera à votre expérience sociale sur PlayStation en…,playstation 
133,1389483445106118658,"RT @YahooNewsTopics: 【ソニー PSNにDiscordを統合へ】
https://t.co/Mv2fMI6N34

ソニー・インタラクティブエンタテインメントは5月3日（米国時間）、チャットルームサービスを運営する米Discordとの提携により、「PlayS…",playstation 
134,1389483444858548224,"RT @porktendencia: “Microsoft”:
Por quienes dicen que Microsoft quedó 🤡 tras anunciarse la alianza ente #Sony y @discord , (después de los…",playstation 
135,1389483441620652035,"Explore the dungeons of death with Dungeon and Gravestone on Xbox, PlayStation, Switch and PC https://t.co/vnzrbOLKiO",playstation 
136,1389483440676950018,"RT @thefootyarena: If Neymar scores ANYTIME against Manchester City tonight, we'll giveaway a PlayStation 5 console to a lucky fan.

Simply…",playstation 
137,1389483440278446083,"どゆこと #PS4share

https://t.co/vkKVloEfz3 https://t.co/zafGA5jA8z",playstation 
138,1389483440106622977,"RT @ApexLegendsWiki: 『プレイステーション』が『ディスコード』とパートナーシップを結んだと発表！！2022年初めからPSNを使ってディスコードが使用可能に

#エーペックスレジェンズ #ApexLegends 

https://t.co/ypP20CWi85",playstation 
139,1389483439187968000,RT @OrdinaryGamers: This is pretty cool,playstation 
140,1389483438449827840,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
141,1389483435434024960,"やっぱり8ボタンより6ボタンのほうが圧倒的に難しい。両手親指の2本しか使えないから追い付かない。パッドでもクリアできる難易度にしてあるのは素晴らしい。

https://t.co/fJyaXphiHR https://t.co/R9SXqYniMI",playstation 
142,1389483433122885632,"RT @M0RIQN: #PlayStation #PS5 #プレゼント企画

PlayStation 5 結局買って1日もやってないからプレゼント企画します🎁

条件はリツイート　いいね　のみ
フォローいりません！ https://t.co/0GUkBBbhgf",playstation 
143,1389483431248105473,PlayStation 4からブロードキャストを始めました！ #PS4live (Dead by Daylight)  live at https://t.co/bQHsoiEvGi,playstation 
144,1389483429788585985,"RT @TheSiteSupply: PS5 Giveaway 🥳

Prizes: 🎁
- 1x PlayStation 5

Rules:  📃
• Follow @TheSiteSupply, @MekRobotics, @Maze_IO, @torpedoAIO, @t…",playstation 
145,1389483428035190784,"@astaranx You still have time to switch to Playstation 👍🏼 We welcome you with open arms!
In the meantime, keep taking ALL the Ls. https://t.co/clX340P8iV",playstation 
146,1389483426680492034,PlayStation 4からブロードキャストを始めました！ #PS4live (GUILTY GEAR Xrd -REVELATOR-)  live at https://t.co/ZuTcYLxaaM,playstation 
147,1389483422800703490,"RT @M0RIQN: #PlayStation #PS5 #プレゼント企画

PlayStation 5 結局買って1日もやってないからプレゼント企画します🎁

条件はリツイート　いいね　のみ
フォローいりません！ https://t.co/0GUkBBbhgf",playstation 
148,1389483419764150272,Check out my broadcast from my PlayStation 4! #PS4live (Call of Duty®: Black Ops Cold War)  live at https://t.co/sKDlm8yIsX,playstation 
149,1389483419709710336,PlayStation 4からブロードキャストを始めました！ #PS4live (アノダイン２：ダストへの帰還)  live at https://t.co/XucagbkDmY,playstation 
150,1389483417952145419,"RT @thefootyarena: If Neymar scores ANYTIME against Manchester City tonight, we'll giveaway a PlayStation 5 console to a lucky fan.

Simply…",playstation 
151,1389483413502038017,Oh la dinguerie https://t.co/6THarOPMK0,playstation 
152,1389483413057544194,RT @Theorus_: Bravo à eux ils viennent de vaincre Xbox,playstation 
153,1389483412017188866,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
154,1389483411681816578,"RT @thefootyarena: If Neymar scores ANYTIME against Manchester City tonight, we'll giveaway a PlayStation 5 console to a lucky fan.

Simply…",playstation 
155,1389483410847006722,"RT @thefootyarena: If Neymar scores ANYTIME against Manchester City tonight, we'll giveaway a PlayStation 5 console to a lucky fan.

Simply…",playstation 
156,1389483407537754115,"ez

https://t.co/iBKVBkv2Qe https://t.co/NCW3kTkV2l",playstation 
157,1389483407126589442,"余計なことしないでそのままアプリケーションをぶっこむ形なら良いかと

SIE、PlayStation NetworkにDiscordを“統合”へ(ITmedia NEWS)
#Yahooニュース
https://t.co/aCr40aT1ck",playstation 
158,1389483402768826370,"RT @M0RIQN: #PlayStation #PS5 #プレゼント企画

PlayStation 5 結局買って1日もやってないからプレゼント企画します🎁

条件はリツイート　いいね　のみ
フォローいりません！ https://t.co/0GUkBBbhgf",playstation 
159,1389483399744827392,"RT @thefootyarena: If Neymar scores ANYTIME against Manchester City tonight, we'll giveaway a PlayStation 5 console to a lucky fan.

Simply…",playstation 
160,1389483399275061248,RT @PlayStation: Announcing PlayStation’s new partnership with Discord: https://t.co/W9C8SR7OXx https://t.co/LV4AhwbuBv,playstation 
161,1389483398331125761,"Casas, Autos, Celulares, Servicios Profesionales, Playstation, Juegos Baratito en https://t.co/KKyYcfFXhk
#VendeloBarato #VendiendoTuCasa",playstation 
162,1389483394980098053,"RT @romsmonkey: [Via https://t.co/tZomDjrAod]

💥New Video is Out Now Guys💥
💖Go and Play New Games This May and Have Fun🎮✅
#gaming #gamer #p…",playstation 
163,1389483392790450176,"RT @YahooNewsTopics: 【ソニー PSNにDiscordを統合へ】
https://t.co/Mv2fMI6N34

ソニー・インタラクティブエンタテインメントは5月3日（米国時間）、チャットルームサービスを運営する米Discordとの提携により、「PlayS…",playstation 
